,month_start,year_start,date_start,fire_duration,incident_acres_burned,season_fall,season_spring,season_summer,season_winter
726,7,2020,2020-07-26,0,51,0,0,1,0
727,7,2020,2020-07-27,3,321,0,0,1,0
728,7,2020,2020-07-28,4,3022,0,0,1,0
729,7,2020,2020-07-21,22,120,0,0,1,0
730,7,2020,2020-07-05,5,1525,0,0,1,0
732,7,2020,2020-07-03,3,62,0,0,1,0
739,7,2018,2018-07-04,184,316,0,0,1,0
740,7,2018,2018-07-06,182,10,0,0,1,0
741,7,2018,2018-07-02,186,45,0,0,1,0
742,7,2018,2018-07-06,182,504,0,0,1,0
743,7,2018,2018-07-01,187,215,0,0,1,0
744,7,2018,2018-07-10,178,12,0,0,1,0
745,7,2018,2018-07-14,174,33,0,0,1,0
746,7,2018,2018-07-04,184,63,0,0,1,0
752,7,2020,2020-07-05,1,343,0,0,1,0
753,7,2018,2018-07-09,179,80,0,0,1,0
754,7,2018,2018-07-06,182,100,0,0,1,0
766,7,2017,2017-07-28,165,63,0,0,1,0
767,7,2018,2018-07-09,179,11,0,0,1,0
769,7,2018,2018-07-04,184,191,0,0,1,0
770,7,2018,2018-07-05,183,38008,0,0,1,0
779,7,2018,2018-07-05,183,90,0,0,1,0
784,7,2018,2018-07-04,184,75,0,0,1,0
785,7,2020,2020-07-04,1,108,0,0,1,0
788,7,2018,2018-07-12,176,962,0,0,1,0
789,7,2018,2018-07-06,182,1350,0,0,1,0
790,7,2018,2018-07-06,182,825,0,0,1,0
791,7,2018,2018-07-13,175,2100,0,0,1,0
792,7,2018,2018-07-08,180,640,0,0,1,0
793,7,2018,2018-07-08,180,56,0,0,1,0
794,7,2018,2018-07-08,180,31,0,0,1,0
795,7,2018,2018-07-08,180,2883,0,0,1,0
796,7,2018,2018-07-11,177,278,0,0,1,0
798,7,2018,2018-07-14,174,52,0,0,1,0
799,7,2018,2018-07-10,178,70,0,0,1,0
800,7,2018,2018-07-10,178,11,0,0,1,0
801,7,2018,2018-07-08,180,62,0,0,1,0
802,7,2018,2018-07-13,175,96901,0,0,1,0
803,7,2018,2018-07-13,175,12,0,0,1,0
804,7,2018,2018-07-06,182,116,0,0,1,0
805,7,2018,2018-07-06,182,113,0,0,1,0
806,7,2018,2018-07-10,178,51,0,0,1,0
807,7,2017,2017-07-18,175,19,0,0,1,0
808,7,2020,2020-07-11,0,31,0,0,1,0
810,7,2017,2017-07-24,169,39,0,0,1,0
811,7,2017,2017-07-24,169,150,0,0,1,0
812,7,2017,2017-07-25,168,13,0,0,1,0
813,7,2017,2017-07-22,171,20,0,0,1,0
814,7,2017,2017-07-22,264,255,0,0,1,0
815,7,2017,2017-07-22,171,85,0,0,1,0
816,7,2017,2017-07-19,174,319,0,0,1,0
817,7,2017,2017-07-26,167,51,0,0,1,0
818,7,2017,2017-07-26,167,1286,0,0,1,0
819,7,2017,2017-07-20,173,416,0,0,1,0
820,7,2017,2017-07-19,267,103,0,0,1,0
821,7,2017,2017-07-23,170,0,0,0,1,0
822,7,2017,2017-07-26,167,140,0,0,1,0
824,7,2020,2020-07-01,2,2900,0,0,1,0
825,7,2020,2020-07-01,4,648,0,0,1,0
826,7,2020,2020-07-02,1,597,0,0,1,0
833,7,2017,2017-07-23,170,78,0,0,1,0
834,7,2017,2017-07-29,164,690,0,0,1,0
835,7,2020,2020-07-15,0,500,0,0,1,0
836,7,2020,2020-07-16,3,253,0,0,1,0
837,7,2020,2020-07-17,3,119,0,0,1,0
838,7,2020,2020-07-18,10,557,0,0,1,0
839,7,2020,2020-07-18,30,9564,0,0,1,0
840,7,2020,2020-07-13,0,2,0,0,1,0
841,7,2017,2017-07-21,172,10,0,0,1,0
843,7,2017,2017-07-23,170,170,0,0,1,0
844,7,2017,2017-07-27,166,15,0,0,1,0
862,7,2017,2017-07-29,164,17,0,0,1,0
863,7,2017,2017-07-29,164,155,0,0,1,0
864,7,2017,2017-07-30,163,236,0,0,1,0
865,7,2017,2017-07-30,163,1350,0,0,1,0
866,7,2017,2017-07-31,162,11,0,0,1,0
867,7,2017,2017-07-31,162,100,0,0,1,0
868,7,2017,2017-07-28,165,57,0,0,1,0
869,7,2017,2017-07-31,162,200,0,0,1,0
870,7,2017,2017-07-12,181,191125,0,0,1,0
876,7,2017,2017-07-31,162,5247,0,0,1,0
878,7,2017,2017-07-08,185,370,0,0,1,0
879,7,2017,2017-07-11,182,83733,0,0,1,0
883,7,2017,2017-07-11,182,101,0,0,1,0
884,7,2017,2017-07-17,176,50,0,0,1,0
885,7,2017,2017-07-12,181,59,0,0,1,0
887,7,2017,2017-07-13,180,32,0,0,1,0
888,7,2017,2017-07-16,177,900,0,0,1,0
889,7,2017,2017-07-08,185,231,0,0,1,0
890,7,2017,2017-07-12,181,13,0,0,1,0
891,7,2017,2017-07-08,185,50,0,0,1,0
893,7,2017,2017-07-13,180,10,0,0,1,0
894,7,2017,2017-07-12,181,46,0,0,1,0
896,7,2017,2017-07-29,164,4310,0,0,1,0
898,7,2017,2017-07-09,184,340,0,0,1,0
902,7,2017,2017-07-08,185,1816,0,0,1,0
903,7,2017,2017-07-08,185,29,0,0,1,0
904,7,2017,2017-07-09,184,48889,0,0,1,0
905,7,2017,2017-07-10,183,166,0,0,1,0
906,7,2017,2017-07-26,167,27276,0,0,1,0
907,7,2017,2017-07-10,183,747,0,0,1,0
908,7,2017,2017-07-10,183,70,0,0,1,0
909,7,2017,2017-07-13,180,410,0,0,1,0
911,7,2017,2017-07-08,185,18430,0,0,1,0
912,7,2017,2017-07-20,173,47,0,0,1,0
913,7,2017,2017-07-15,178,10,0,0,1,0
914,7,2017,2017-07-12,181,10,0,0,1,0
915,7,2017,2017-07-12,181,35,0,0,1,0
917,7,2017,2017-07-11,182,400,0,0,1,0
918,7,2017,2017-07-14,272,460,0,0,1,0
924,8,2019,2019-08-10,0,33,0,0,1,0
926,8,2019,2019-08-01,2,448,0,0,1,0
927,8,2019,2019-08-02,0,84,0,0,1,0
928,8,2019,2019-08-02,0,50,0,0,1,0
929,8,2019,2019-08-02,0,103,0,0,1,0
930,8,2019,2019-08-03,2,156,0,0,1,0
931,8,2019,2019-08-03,1,26,0,0,1,0
932,8,2019,2019-08-05,1,29,0,0,1,0
933,8,2019,2019-08-05,1,94,0,0,1,0
935,8,2019,2019-08-08,3,20,0,0,1,0
936,8,2019,2019-08-08,3,1020,0,0,1,0
937,8,2019,2019-08-09,9,1301,0,0,1,0
940,8,2019,2019-08-12,0,20,0,0,1,0
941,8,2019,2019-08-03,3,757,0,0,1,0
944,8,2019,2019-08-08,0,21,0,0,1,0
945,8,2017,2017-08-20,142,867,0,0,1,0
946,8,2017,2017-08-06,156,530,0,0,1,0
947,8,2017,2017-08-30,132,18618,0,0,1,0
948,8,2017,2017-08-21,141,200,0,0,1,0
949,8,2017,2017-08-03,159,7697,0,0,1,0
950,8,2020,2020-08-12,0,424,0,0,1,0
951,8,2020,2020-08-11,1,285,0,0,1,0
952,8,2020,2020-08-10,1,65,0,0,1,0
953,8,2020,2020-08-04,16,594,0,0,1,0
956,8,2020,2020-08-06,1,277,0,0,1,0
958,8,2020,2020-08-12,47,31089,0,0,1,0
959,8,2020,2020-08-03,15,7760,0,0,1,0
961,8,2020,2020-08-10,2,177,0,0,1,0
962,8,2017,2017-08-13,149,1044,0,0,1,0
963,8,2020,2020-08-15,4,312,0,0,1,0
964,8,2020,2020-08-04,1,280,0,0,1,0
966,8,2017,2017-08-02,160,2295,0,0,1,0
967,8,2017,2017-08-29,133,6042,0,0,1,0
970,8,2017,2017-08-30,132,28,0,0,1,0
972,8,2017,2017-08-29,133,55,0,0,1,0
975,8,2017,2017-08-15,147,78698,0,0,1,0
977,8,2017,2017-08-02,160,32,0,0,1,0
983,8,2017,2017-08-20,142,186,0,0,1,0
984,8,2017,2017-08-26,136,40,0,0,1,0
985,8,2017,2017-08-31,203,30,0,0,1,0
986,8,2017,2017-08-04,158,122,0,0,1,0
987,8,2017,2017-08-31,131,34,0,0,1,0
988,8,2019,2019-08-28,7,3380,0,0,1,0
989,8,2019,2019-08-27,0,12,0,0,1,0
990,8,2019,2019-08-25,0,80,0,0,1,0
991,8,2019,2019-08-24,3,2438,0,0,1,0
992,8,2019,2019-08-22,1,34,0,0,1,0
993,8,2019,2019-08-22,4,600,0,0,1,0
994,8,2019,2019-08-21,0,139,0,0,1,0
995,8,2019,2019-08-16,1,1507,0,0,1,0
996,8,2019,2019-08-15,1,35,0,0,1,0
997,8,2019,2019-08-15,1,80,0,0,1,0
998,8,2019,2019-08-15,2,156,0,0,1,0
999,8,2019,2019-08-14,0,20,0,0,1,0
1000,8,2019,2019-08-24,3,131,0,0,1,0
1001,8,2019,2019-08-12,5,225,0,0,1,0
1002,8,2017,2017-08-02,160,32,0,0,1,0
1003,8,2019,2019-08-31,0,19,0,0,1,0
1004,8,2017,2017-08-14,148,545,0,0,1,0
1005,8,2019,2019-08-25,3,25,0,0,1,0
1007,8,2017,2017-08-13,149,41,0,0,1,0
1008,8,2017,2017-08-11,151,775,0,0,1,0
1009,8,2019,2019-08-14,0,16,0,0,1,0
1010,8,2019,2019-08-13,0,81,0,0,1,0
1011,8,2019,2019-08-12,1,46,0,0,1,0
1012,8,2017,2017-08-01,161,8094,0,0,1,0
1013,8,2017,2017-08-14,148,7000,0,0,1,0
1014,8,2017,2017-08-03,159,85,0,0,1,0
1015,8,2017,2017-08-02,160,460,0,0,1,0
1016,8,2017,2017-08-17,145,17,0,0,1,0
1017,8,2017,2017-08-02,160,70,0,0,1,0
1023,8,2017,2017-08-30,132,21846,0,0,1,0
1024,8,2017,2017-08-01,161,20,0,0,1,0
1025,8,2017,2017-08-29,133,8925,0,0,1,0
1026,8,2017,2017-08-05,157,50,0,0,1,0
1027,8,2020,2020-08-13,53,4237,0,0,1,0
1028,8,2017,2017-08-08,154,62,0,0,1,0
1029,8,2017,2017-08-03,159,30,0,0,1,0
1030,8,2017,2017-08-03,159,10,0,0,1,0
1031,8,2017,2017-08-03,159,325,0,0,1,0
1034,8,2017,2017-08-28,134,54,0,0,1,0
1039,8,2017,2017-08-30,132,102,0,0,1,0
1041,8,2017,2017-08-06,156,1020,0,0,1,0
1042,8,2017,2017-08-19,143,168,0,0,1,0
1044,8,2017,2017-08-07,155,92,0,0,1,0
1045,8,2017,2017-08-30,132,392,0,0,1,0
1048,8,2017,2017-08-30,132,27,0,0,1,0
1052,8,2017,2017-08-13,149,19,0,0,1,0
1053,8,2017,2017-08-11,151,114,0,0,1,0
1054,8,2017,2017-08-10,152,15,0,0,1,0
1055,8,2017,2017-08-11,151,100,0,0,1,0
1056,8,2017,2017-08-10,152,338,0,0,1,0
1058,8,2017,2017-08-07,155,4736,0,0,1,0
1059,8,2017,2017-08-07,155,82,0,0,1,0
1060,8,2017,2017-08-06,156,859,0,0,1,0
1061,8,2020,2020-08-14,0,110,0,0,1,0
1062,8,2020,2020-08-12,0,183,0,0,1,0
1063,8,2020,2020-08-16,1,20,0,0,1,0
1065,8,2018,2018-08-01,156,106,0,0,1,0
1078,8,2018,2018-08-16,141,3674,0,0,1,0
1080,8,2018,2018-08-09,148,1900,0,0,1,0
1082,8,2017,2017-08-01,161,19,0,0,1,0
1084,8,2020,2020-08-18,44,396624,0,0,1,0
1085,8,2020,2020-08-18,3,820,0,0,1,0
1086,8,2020,2020-08-17,46,363220,0,0,1,0
1087,8,2020,2020-08-19,51,19609,0,0,1,0
1088,8,2020,2020-08-19,0,55,0,0,1,0
1089,8,2020,2020-08-14,12,47029,0,0,1,0
1090,8,2020,2020-08-20,2,45,0,0,1,0
1092,8,2020,2020-08-21,5,143,0,0,1,0
1093,8,2020,2020-08-23,24,0,0,0,1,0
1094,8,2020,2020-08-18,45,4929,0,0,1,0
1095,8,2020,2020-08-26,5,567,0,0,1,0
1096,8,2020,2020-08-28,2,290,0,0,1,0
1097,8,2020,2020-08-30,0,688,0,0,1,0
1098,8,2018,2018-08-09,148,10,0,0,1,0
1099,8,2017,2017-08-24,138,2312,0,0,1,0
1100,8,2020,2020-08-22,18,29570,0,0,1,0
1101,8,2018,2018-08-17,140,30,0,0,1,0
1105,8,2018,2018-08-03,154,2950,0,0,1,0
1107,8,2018,2018-08-04,153,22,0,0,1,0
1108,8,2018,2018-08-05,152,136,0,0,1,0
1112,8,2018,2018-08-04,153,30,0,0,1,0
1115,8,2018,2018-08-01,156,36450,0,0,1,0
1122,8,2018,2018-08-06,151,35,0,0,1,0
1123,8,2018,2018-08-09,148,250,0,0,1,0
1124,8,2018,2018-08-06,151,23136,0,0,1,0
1127,8,2018,2018-08-06,151,14,0,0,1,0
1128,8,2018,2018-08-01,156,67,0,0,1,0
1129,8,2018,2018-08-01,156,66,0,0,1,0
1130,8,2018,2018-08-01,156,700,0,0,1,0
1132,8,2018,2018-08-06,151,2225,0,0,1,0
1134,8,2018,2018-08-07,150,117,0,0,1,0
1135,8,2018,2018-08-06,151,2995,0,0,1,0
1136,8,2018,2018-08-16,141,114,0,0,1,0
1138,8,2018,2018-08-09,148,46150,0,0,1,0
1139,8,2018,2018-08-22,135,23,0,0,1,0
1140,8,2018,2018-08-06,151,290,0,0,1,0
1141,8,2018,2018-08-27,130,88,0,0,1,0
1142,8,2020,2020-08-20,10,2857,0,0,1,0
1143,8,2017,2017-08-13,149,125,0,0,1,0
1144,8,2017,2017-08-22,140,200,0,0,1,0
1145,8,2018,2018-08-26,131,103,0,0,1,0
1146,8,2020,2020-08-02,3,560,0,0,1,0
1147,8,2018,2018-08-27,130,36,0,0,1,0
1148,8,2020,2020-08-17,2,14,0,0,1,0
1149,8,2017,2017-08-23,139,31,0,0,1,0
1150,8,2017,2017-08-26,136,62,0,0,1,0
1151,8,2017,2017-08-26,136,157,0,0,1,0
1152,8,2017,2017-08-07,155,3142,0,0,1,0
1153,8,2017,2017-08-26,136,111,0,0,1,0
1154,8,2017,2017-08-28,134,40,0,0,1,0
1155,8,2018,2018-08-30,127,60,0,0,1,0
1156,8,2017,2017-08-29,366,4016,0,0,1,0
1157,8,2017,2017-08-27,135,44,0,0,1,0
1158,8,2020,2020-08-02,1,600,0,0,1,0
1159,8,2017,2017-08-29,133,36556,0,0,1,0
1160,8,2017,2017-08-28,134,10,0,0,1,0
1161,8,2017,2017-08-27,135,69,0,0,1,0
1162,8,2017,2017-08-27,135,46,0,0,1,0
1163,8,2017,2017-08-27,135,18,0,0,1,0
1164,8,2018,2018-08-25,132,32,0,0,1,0
1165,8,2017,2017-08-28,134,54,0,0,1,0
1166,8,2020,2020-08-18,3,62,0,0,1,0
1167,8,2020,2020-08-01,44,684,0,0,1,0
1168,8,2020,2020-08-16,37,86509,0,0,1,0
1169,8,2020,2020-08-02,2,120,0,0,1,0
1170,8,2020,2020-08-02,8,6882,0,0,1,0
1171,8,2020,2020-08-02,2,52,0,0,1,0
1172,8,2020,2020-08-02,0,36,0,0,1,0
1173,8,2020,2020-08-01,8,1962,0,0,1,0
1174,8,2017,2017-08-29,133,12407,0,0,1,0
1175,8,2020,2020-08-01,44,178,0,0,1,0
1176,8,2017,2017-08-14,148,39715,0,0,1,0
1177,8,2020,2020-08-13,1,512,0,0,1,0
1179,8,2020,2020-08-16,1,727,0,0,1,0
1180,8,2020,2020-08-16,87,1032648,0,0,1,0
1181,8,2018,2018-08-23,134,289,0,0,1,0
1182,8,2018,2018-08-19,138,10,0,0,1,0
1183,8,2018,2018-08-19,138,1014,0,0,1,0
1184,8,2018,2018-08-19,138,155,0,0,1,0
1185,8,2018,2018-08-18,139,367,0,0,1,0
1186,8,2020,2020-08-17,11,705,0,0,1,0
1188,8,2020,2020-08-17,11,0,0,0,1,0
1189,8,2018,2018-08-15,142,39387,0,0,1,0
1190,8,2018,2018-08-26,131,48,0,0,1,0
1191,8,2018,2018-08-11,146,650,0,0,1,0
1192,8,2020,2020-08-17,2,275,0,0,1,0
1196,8,2018,2018-08-15,142,668,0,0,1,0
1198,8,2020,2020-08-03,3,200,0,0,1,0
1199,8,2018,2018-08-17,140,34,0,0,1,0
1200,8,2018,2018-08-12,145,16,0,0,1,0
1201,8,2018,2018-08-13,144,100,0,0,1,0
1202,8,2018,2018-08-10,147,2162,0,0,1,0
1203,8,2018,2018-08-31,126,125,0,0,1,0
1204,9,2019,2019-09-30,0,19,1,0,0,0
1206,9,2019,2019-09-05,13,244,1,0,0,0
1207,9,2017,2017-09-03,128,1035,1,0,0,0
1208,9,2019,2019-09-29,0,22,1,0,0,0
1209,9,2019,2019-09-25,0,52,1,0,0,0
1210,9,2017,2017-09-23,108,25,1,0,0,0
1211,9,2017,2017-09-03,128,1749,1,0,0,0
1212,9,2017,2017-09-03,128,100,1,0,0,0
1213,9,2020,2020-09-08,62,0,1,0,0,0
1214,9,2020,2020-09-07,7,1100,1,0,0,0
1215,9,2020,2020-09-05,19,16390,1,0,0,0
1216,9,2020,2020-09-05,72,22744,1,0,0,0
1217,9,2020,2020-09-01,1,13,1,0,0,0
1218,9,2020,2020-09-01,9,0,1,0,0,0
1219,9,2017,2017-09-01,130,25,1,0,0,0
1225,9,2020,2020-09-12,58,1185,1,0,0,0
1226,9,2020,2020-09-16,2,111,1,0,0,0
1227,9,2017,2017-09-01,130,130,1,0,0,0
1228,9,2020,2020-09-27,23,67484,1,0,0,0
1229,9,2017,2017-09-10,121,34,1,0,0,0
1230,9,2020,2020-09-09,5,1311,1,0,0,0
1231,9,2020,2020-09-08,1,45,1,0,0,0
1232,9,2020,2020-09-09,8,45,1,0,0,0
1233,9,2020,2020-09-11,10,50,1,0,0,0
1234,9,2017,2017-09-03,128,79,1,0,0,0
1235,9,2020,2020-09-28,2,230,1,0,0,0
1236,9,2017,2017-09-05,126,21,1,0,0,0
1237,9,2020,2020-09-29,1,227,1,0,0,0
1238,9,2017,2017-09-03,128,120,1,0,0,0
1239,9,2017,2017-09-02,129,3874,1,0,0,0
1240,9,2017,2017-09-03,128,100,1,0,0,0
1242,9,2017,2017-09-03,128,680,1,0,0,0
1245,9,2017,2017-09-01,130,7194,1,0,0,0
1248,9,2017,2017-09-01,130,1319,1,0,0,0
1250,9,2020,2020-09-30,3,48,1,0,0,0
1251,9,2020,2020-09-16,14,2188,1,0,0,0
1253,9,2020,2020-09-27,16,56338,1,0,0,0
1256,9,2017,2017-09-12,119,200,1,0,0,0
1257,9,2017,2017-09-11,120,10,1,0,0,0
1258,9,2017,2017-09-05,126,2575,1,0,0,0
1259,9,2017,2017-09-11,120,43,1,0,0,0
1260,9,2017,2017-09-26,105,74,1,0,0,0
1261,9,2017,2017-09-07,124,0,1,0,0,0
1262,9,2017,2017-09-07,124,25,1,0,0,0
1263,9,2017,2017-09-23,108,55,1,0,0,0
1264,9,2017,2017-09-26,105,26,1,0,0,0
1265,9,2017,2017-09-28,103,143,1,0,0,0
1266,9,2017,2017-09-26,105,105,1,0,0,0
1267,9,2018,2018-09-09,117,166,1,0,0,0
1268,9,2018,2018-09-01,125,172,1,0,0,0
1269,9,2018,2018-09-02,124,15,1,0,0,0
1270,9,2018,2018-09-03,123,24,1,0,0,0
1271,9,2018,2018-09-03,123,1120,1,0,0,0
1272,9,2018,2018-09-04,122,150,1,0,0,0
1273,9,2018,2018-09-04,122,13,1,0,0,0
1274,9,2018,2018-09-08,118,573,1,0,0,0
1275,9,2018,2018-09-04,122,1751,1,0,0,0
1276,9,2018,2018-09-05,121,63311,1,0,0,0
1277,9,2018,2018-09-04,122,6974,1,0,0,0
1278,9,2017,2017-09-11,120,50,1,0,0,0
1280,9,2017,2017-09-25,106,28,1,0,0,0
1281,9,2017,2017-09-20,111,10,1,0,0,0
1282,9,2017,2017-09-20,111,245,1,0,0,0
1283,9,2017,2017-09-20,111,48,1,0,0,0
1284,9,2017,2017-09-19,112,237,1,0,0,0
1285,9,2017,2017-09-19,198,155,1,0,0,0
1286,9,2017,2017-09-19,112,146,1,0,0,0
1287,9,2017,2017-09-18,113,429,1,0,0,0
1288,9,2017,2017-09-17,114,136,1,0,0,0
1290,9,2017,2017-09-12,119,13417,1,0,0,0
1293,9,2017,2017-09-12,119,12,1,0,0,0
1294,9,2017,2017-09-12,119,995,1,0,0,0
1300,9,2017,2017-09-12,119,58,1,0,0,0
1301,9,2018,2018-09-13,113,400,1,0,0,0
1302,9,2018,2018-09-10,116,152,1,0,0,0
1303,9,2018,2018-09-12,114,200,1,0,0,0
1310,9,2018,2018-09-16,110,51,1,0,0,0
1328,9,2018,2018-09-14,112,25,1,0,0,0
1329,9,2018,2018-09-20,106,12,1,0,0,0
1330,9,2018,2018-09-22,104,360,1,0,0,0
1331,9,2018,2018-09-22,104,3380,1,0,0,0
1332,9,2018,2018-09-22,104,53,1,0,0,0
1333,9,2017,2017-09-29,102,35,1,0,0,0
1334,9,2017,2017-09-29,102,40,1,0,0,0
1335,9,2018,2018-09-28,98,261,1,0,0,0
1336,9,2018,2018-09-28,98,76,1,0,0,0
1337,9,2018,2018-09-23,103,30,1,0,0,0
1338,9,2018,2018-09-24,102,33,1,0,0,0
1339,9,2018,2018-09-26,100,53,1,0,0,0
1340,9,2018,2018-09-08,118,2490,1,0,0,0
1341,9,2017,2017-09-29,102,444,1,0,0,0
1342,9,2017,2017-09-27,104,18900,1,0,0,0
1343,9,2017,2017-09-25,184,2662,1,0,0,0
1344,9,2017,2017-09-26,105,22,1,0,0,0
1347,9,2018,2018-09-02,124,36,1,0,0,0
1351,9,2019,2019-09-04,10,1926,1,0,0,0
1352,9,2019,2019-09-06,76,10296,1,0,0,0
1353,9,2017,2017-09-19,188,39,1,0,0,0
1360,9,2019,2019-09-21,1,98,1,0,0,0
1361,9,2019,2019-09-23,1,83,1,0,0,0
1362,9,2019,2019-09-21,6,220,1,0,0,0
1365,9,2019,2019-09-05,8,8838,1,0,0,0
1367,9,2019,2019-09-10,0,10,1,0,0,0
1369,9,2019,2019-09-06,7,5737,1,0,0,0
1370,9,2019,2019-09-07,19,227,1,0,0,0
1371,9,2019,2019-09-05,0,44,1,0,0,0
1372,9,2019,2019-09-06,76,1975,1,0,0,0
1373,9,2019,2019-09-15,7,167,1,0,0,0
1374,9,2019,2019-09-06,6,58,1,0,0,0
1375,9,2019,2019-09-06,5,260,1,0,0,0
1376,9,2019,2019-09-05,88,5332,1,0,0,0
1377,9,2019,2019-09-07,5,280,1,0,0,0
1378,9,2019,2019-09-13,0,11,1,0,0,0
1379,9,2019,2019-09-07,6,496,1,0,0,0
1380,9,2019,2019-09-07,3,15,1,0,0,0
1381,9,2019,2019-09-07,1,250,1,0,0,0
1382,9,2019,2019-09-09,5,200,1,0,0,0
1383,9,2019,2019-09-21,3,128,1,0,0,0
1384,9,2019,2019-09-07,1,53,1,0,0,0
1386,9,2019,2019-09-24,0,16,1,0,0,0
1387,9,2019,2019-09-04,1,28,1,0,0,0
1388,9,2019,2019-09-01,1,66,1,0,0,0
1389,9,2019,2019-09-01,4,279,1,0,0,0
1390,9,2019,2019-09-02,0,11,1,0,0,0
1391,9,2019,2019-09-02,1,167,1,0,0,0
1392,9,2019,2019-09-02,4,15,1,0,0,0
1393,9,2019,2019-09-03,3,85,1,0,0,0
1394,9,2019,2019-09-03,3,10,1,0,0,0
1395,9,2019,2019-09-25,0,10,1,0,0,0
1396,9,2019,2019-09-04,0,17,1,0,0,0
1397,9,2019,2019-09-28,0,300,1,0,0,0
1398,10,2018,2018-10-24,72,120,1,0,0,0
1399,10,2019,2019-10-24,0,80,1,0,0,0
1400,10,2018,2018-10-30,66,550,1,0,0,0
1402,10,2017,2017-10-02,99,100,1,0,0,0
1403,10,2017,2017-10-03,98,17,1,0,0,0
1404,10,2017,2017-10-03,98,20,1,0,0,0
1405,10,2019,2019-10-23,14,77758,1,0,0,0
1406,10,2019,2019-10-24,3,62,1,0,0,0
1407,10,2018,2018-10-19,77,58,1,0,0,0
1408,10,2019,2019-10-25,3,97,1,0,0,0
1409,10,2019,2019-10-25,2,37,1,0,0,0
1410,10,2018,2018-10-02,94,150,1,0,0,0
1411,10,2018,2018-10-02,94,32,1,0,0,0
1412,10,2018,2018-10-07,89,3889,1,0,0,0
1413,10,2018,2018-10-07,89,63,1,0,0,0
1414,10,2018,2018-10-10,86,15,1,0,0,0
1415,10,2018,2018-10-12,84,160,1,0,0,0
1416,10,2018,2018-10-14,82,12,1,0,0,0
1417,10,2018,2018-10-14,82,38,1,0,0,0
1418,10,2018,2018-10-15,81,10,1,0,0,0
1419,10,2019,2019-10-24,3,35,1,0,0,0
1420,10,2019,2019-10-27,1,605,1,0,0,0
1421,10,2017,2017-10-10,91,19,1,0,0,0
1422,10,2019,2019-10-27,1,150,1,0,0,0
1425,10,2019,2019-10-10,0,9,1,0,0,0
1426,10,2019,2019-10-09,3,10,1,0,0,0
1427,10,2019,2019-10-18,1,137,1,0,0,0
1428,10,2019,2019-10-09,0,68,1,0,0,0
1429,10,2019,2019-10-09,2,289,1,0,0,0
1430,10,2019,2019-10-08,0,12,1,0,0,0
1432,10,2019,2019-10-07,0,11,1,0,0,0
1433,10,2019,2019-10-06,1,526,1,0,0,0
1434,10,2019,2019-10-04,3,63,1,0,0,0
1435,10,2019,2019-10-03,1,18,1,0,0,0
1436,10,2019,2019-10-30,3,494,1,0,0,0
1437,10,2019,2019-10-31,3,328,1,0,0,0
1438,10,2019,2019-10-17,4,420,1,0,0,0
1439,10,2019,2019-10-21,1,11,1,0,0,0
1440,10,2019,2019-10-31,5,200,1,0,0,0
1441,10,2019,2019-10-07,0,29,1,0,0,0
1442,10,2018,2018-10-13,83,167,1,0,0,0
1444,10,2019,2019-10-10,0,42,1,0,0,0
1445,10,2017,2017-10-06,95,87,1,0,0,0
1450,10,2019,2019-10-27,1,140,1,0,0,0
1451,10,2019,2019-10-27,7,703,1,0,0,0
1452,10,2019,2019-10-21,10,42,1,0,0,0
1453,10,2019,2019-10-10,3,350,1,0,0,0
1454,10,2019,2019-10-27,1,50,1,0,0,0
1455,10,2019,2019-10-10,0,40,1,0,0,0
1456,10,2019,2019-10-15,1,10,1,0,0,0
1457,10,2019,2019-10-14,2,75,1,0,0,0
1458,10,2019,2019-10-13,3,55,1,0,0,0
1459,10,2019,2019-10-11,1,200,1,0,0,0
1460,10,2019,2019-10-11,0,30,1,0,0,0
1461,10,2019,2019-10-10,21,8799,1,0,0,0
1462,10,2019,2019-10-10,2,75,1,0,0,0
1463,10,2019,2019-10-30,3,1806,1,0,0,0
1464,10,2017,2017-10-08,93,40,1,0,0,0
1465,10,2020,2020-10-04,2,21,1,0,0,0
1466,10,2017,2017-10-08,93,10,1,0,0,0
1467,10,2017,2017-10-15,170,184,1,0,0,0
1468,10,2017,2017-10-24,77,40,1,0,0,0
1469,10,2017,2017-10-09,92,1660,1,0,0,0
1470,10,2017,2017-10-26,75,50,1,0,0,0
1471,10,2017,2017-10-15,86,31,1,0,0,0
1472,10,2017,2017-10-17,84,1088,1,0,0,0
1473,10,2017,2017-10-18,83,13,1,0,0,0
1474,10,2017,2017-10-23,78,50,1,0,0,0
1475,10,2017,2017-10-10,91,23,1,0,0,0
1476,10,2017,2017-10-13,88,81,1,0,0,0
1477,10,2017,2017-10-24,77,86,1,0,0,0
1478,10,2017,2017-10-20,81,21,1,0,0,0
1479,10,2017,2017-10-21,80,100,1,0,0,0
1481,10,2017,2017-10-13,88,73,1,0,0,0
1482,10,2017,2017-10-17,84,116,1,0,0,0
1483,10,2017,2017-10-08,124,2207,1,0,0,0
1484,10,2017,2017-10-14,173,100,1,0,0,0
1485,10,2017,2017-10-09,123,821,1,0,0,0
1486,10,2017,2017-10-09,92,150,1,0,0,0
1487,10,2017,2017-10-09,178,9217,1,0,0,0
1488,10,2017,2017-10-26,75,866,1,0,0,0
1489,10,2017,2017-10-26,75,194,1,0,0,0
